map,step_limit,algorithm,p1_evaluator,p2_evaluator,role_assignment,spawn_mirror,p1_score,p2_score,winner,new_score,old_score,score_diff_new_minus_old,boxes_on_goals,new_useful_pushes,old_useful_pushes,new_ineffective_actions,old_ineffective_actions,new_avg_latency_ms,new_med_latency_ms,new_max_latency_ms,old_avg_latency_ms,old_med_latency_ms,old_max_latency_ms,new_deadline_fallbacks,old_deadline_fallbacks
competitive_01.txt,10,astar,new,old,new_as_p1,False,1,1,tie,1,1,0,2,1,1,0,0,1.959,1.87,4.521,7.551,6.447,16.166,0,0
competitive_01.txt,10,astar,old,new,new_as_p2,False,1,1,tie,1,1,0,2,1,1,0,0,1.921,2.164,3.311,7.294,6.853,11.102,0,0
competitive_01.txt,10,astar,new,old,new_as_p1,True,1,1,tie,1,1,0,2,1,1,0,0,1.97,2.089,3.89,6.064,5.698,8.15,0,0
competitive_01.txt,10,astar,old,new,new_as_p2,True,1,1,tie,1,1,0,2,1,1,0,0,1.509,1.408,2.58,6.559,6.276,8.819,0,0
competitive_01.txt,10,gbfs,new,old,new_as_p1,False,1,1,tie,1,1,0,2,1,1,0,0,0.399,0.373,0.785,5.345,5.268,6.586,0,0
competitive_01.txt,10,gbfs,old,new,new_as_p2,False,1,1,tie,1,1,0,2,1,1,0,0,0.466,0.38,0.889,6.662,7.006,9.002,0,0
competitive_01.txt,10,gbfs,new,old,new_as_p1,True,1,1,tie,1,1,0,2,1,1,0,0,0.417,0.382,0.867,6.926,6.469,10.474,0,0
competitive_01.txt,10,gbfs,old,new,new_as_p2,True,1,1,tie,1,1,0,2,1,1,0,0,0.393,0.371,0.615,6.494,5.835,9.904,0,0
competitive_01.txt,25,astar,new,old,new_as_p1,False,2,1,new,2,1,1,3,3,2,1,0,26.04,3.179,85.844,6.882,6.481,14.347,0,0
competitive_01.txt,25,astar,old,new,new_as_p2,False,1,2,new,2,1,1,3,3,2,1,0,22.403,3.671,55.498,5.881,5.793,8.111,0,0
competitive_01.txt,25,astar,new,old,new_as_p1,True,2,1,new,2,1,1,3,3,2,1,0,22.24,3.39,82.375,6.285,5.668,15.655,0,0
competitive_01.txt,25,astar,old,new,new_as_p2,True,1,2,new,2,1,1,3,3,2,1,0,25.609,4.152,97.572,6.993,6.14,13.255,0,0
competitive_01.txt,25,gbfs,new,old,new_as_p1,False,2,1,new,2,1,1,3,3,2,1,0,7.45,1.748,23.901,6.299,5.558,10.875,0,0
competitive_01.txt,25,gbfs,old,new,new_as_p2,False,1,2,new,2,1,1,3,3,2,1,0,8.654,1.645,28.93,5.466,5.271,9.526,0,0
competitive_01.txt,25,gbfs,new,old,new_as_p1,True,2,1,new,2,1,1,3,3,2,1,0,7.574,1.032,25.083,4.96,4.589,7.164,0,0
competitive_01.txt,25,gbfs,old,new,new_as_p2,True,1,2,new,2,1,1,3,3,2,1,0,9.483,1.854,43.918,7.026,6.379,11.487,0,0
competitive_01.txt,50,astar,new,old,new_as_p1,False,2,1,new,2,1,1,3,3,2,22,22,23.34,19.007,99.484,6.934,6.241,11.504,0,0
competitive_01.txt,50,astar,old,new,new_as_p2,False,1,2,new,2,1,1,3,3,2,24,24,18.935,19.063,51.368,6.444,5.99,11.585,0,0
competitive_01.txt,50,astar,new,old,new_as_p1,True,2,1,new,2,1,1,3,3,2,24,24,21.412,20.522,68.488,8.422,7.265,17.402,0,0
competitive_01.txt,50,astar,old,new,new_as_p2,True,1,2,new,2,1,1,3,3,2,22,22,26.122,20.297,77.362,8.741,8.869,14.583,0,0
competitive_01.txt,50,gbfs,new,old,new_as_p1,False,3,0,new,3,0,3,3,6,5,3,2,21.42,20.782,51.505,5.884,5.35,12.955,0,0
competitive_01.txt,50,gbfs,old,new,new_as_p2,False,1,2,new,2,1,1,3,3,2,1,0,16.184,18.015,65.549,6.06,5.539,12.769,0,0
competitive_01.txt,50,gbfs,new,old,new_as_p1,True,2,1,new,2,1,1,3,3,2,1,0,17.767,18.878,72.372,6.527,6.108,12.104,0,0
competitive_01.txt,50,gbfs,old,new,new_as_p2,True,0,3,new,3,0,3,3,6,5,3,2,22.486,19.577,88.281,5.944,5.387,22.671,0,0
competitive_02.txt,10,astar,new,old,new_as_p1,False,1,1,tie,1,1,0,2,2,1,0,0,1.515,0.916,4.396,5.754,4.962,10.624,0,0
competitive_02.txt,10,astar,old,new,new_as_p2,False,1,1,tie,1,1,0,2,1,2,0,0,1.779,1.635,5.433,5.013,4.847,6.079,0,0
competitive_02.txt,10,astar,new,old,new_as_p1,True,1,1,tie,1,1,0,2,1,2,0,0,1.546,1.101,5.203,4.655,4.731,5.36,0,0
competitive_02.txt,10,astar,old,new,new_as_p2,True,1,1,tie,1,1,0,2,2,1,0,0,1.072,1.137,1.662,5.224,4.73,7.226,0,0
competitive_02.txt,10,gbfs,new,old,new_as_p1,False,1,1,tie,1,1,0,2,2,1,0,0,0.396,0.325,0.839,4.248,4.202,5.766,0,0
competitive_02.txt,10,gbfs,old,new,new_as_p2,False,1,1,tie,1,1,0,2,1,2,0,0,0.587,0.396,2.107,4.717,4.262,7.021,0,0
competitive_02.txt,10,gbfs,new,old,new_as_p1,True,1,1,tie,1,1,0,2,1,2,0,0,0.599,0.452,2.099,5.066,4.387,7.684,0,0
competitive_02.txt,10,gbfs,old,new,new_as_p2,True,1,1,tie,1,1,0,2,2,1,0,0,0.384,0.316,0.728,4.354,4.281,5.235,0,0
competitive_02.txt,25,astar,new,old,new_as_p1,False,2,0,new,2,0,2,2,4,1,0,0,21.611,3.318,57.827,5.595,5.357,10.238,0,0
competitive_02.txt,25,astar,old,new,new_as_p2,False,2,1,old,1,2,-1,3,2,5,1,0,22.891,2.117,62.383,5.145,4.631,22.767,0,0
competitive_02.txt,25,astar,new,old,new_as_p1,True,1,2,old,1,2,-1,3,2,5,1,0,24.865,4.322,69.848,5.587,5.473,10.123,0,0
competitive_02.txt,25,astar,old,new,new_as_p2,True,0,2,new,2,0,2,2,4,1,0,0,22.551,2.472,63.901,5.496,4.87,10.533,0,0
competitive_02.txt,25,gbfs,new,old,new_as_p1,False,2,1,new,2,1,1,3,3,3,0,0,12.83,4.157,55.414,5.028,4.263,9.156,0,0
competitive_02.txt,25,gbfs,old,new,new_as_p2,False,2,1,old,1,2,-1,3,2,5,1,0,8.577,1.627,24.395,3.646,3.982,6.092,0,0
competitive_02.txt,25,gbfs,new,old,new_as_p1,True,1,2,old,1,2,-1,3,2,5,1,0,7.745,1.664,24.825,3.674,4.11,7.025,0,0
competitive_02.txt,25,gbfs,old,new,new_as_p2,True,1,2,new,2,1,1,3,3,3,0,0,14.023,3.62,76.026,6.261,4.731,34.805,0,0
competitive_02.txt,50,astar,new,old,new_as_p1,False,3,0,new,3,0,3,3,5,1,0,0,21.975,15.783,69.48,7.161,4.869,23.597,0,0
competitive_02.txt,50,astar,old,new,new_as_p2,False,1,2,new,2,1,1,3,4,5,3,2,17.885,19.212,49.064,4.443,4.624,7.466,0,0
competitive_02.txt,50,astar,new,old,new_as_p1,True,2,1,new,2,1,1,3,4,5,3,2,18.48,18.716,56.896,4.735,4.699,8.439,0,0
competitive_02.txt,50,astar,old,new,new_as_p2,True,0,3,new,3,0,3,3,5,1,0,0,18.732,19.115,49.906,6.507,6.143,10.557,0,0
competitive_02.txt,50,gbfs,new,old,new_as_p1,False,2,0,new,2,0,2,2,5,5,2,0,22.161,19.214,73.641,5.166,4.764,11.434,0,0
competitive_02.txt,50,gbfs,old,new,new_as_p2,False,1,2,new,2,1,1,3,4,5,3,2,12.486,14.468,27.907,4.419,4.099,9.403,0,0
competitive_02.txt,50,gbfs,new,old,new_as_p1,True,2,1,new,2,1,1,3,4,5,3,2,13.417,15.545,36.431,4.304,4.244,8.27,0,0
