map,step_limit,algorithm,p1_evaluator,p2_evaluator,role_assignment,p1_score,p2_score,winner,new_score,old_score,score_diff_new_minus_old,boxes_on_goals,new_useful_pushes,old_useful_pushes,new_ineffective_actions,old_ineffective_actions,new_avg_latency_ms,new_med_latency_ms,new_max_latency_ms,old_avg_latency_ms,old_med_latency_ms,old_max_latency_ms,new_deadline_fallbacks,old_deadline_fallbacks
easy_01.txt,10,astar,new,old,new_as_p1,0,0,tie,0,0,0,0,0,0,8,8,0.235,0.174,0.462,1.399,1.297,1.983,0,0
easy_01.txt,10,astar,old,new,new_as_p2,0,0,tie,0,0,0,0,0,0,8,8,0.776,0.751,1.173,1.867,1.745,2.517,0,0
easy_01.txt,25,astar,new,old,new_as_p1,0,0,tie,0,0,0,0,0,0,23,23,1.632,1.601,4.628,1.411,1.299,2.205,0,0
easy_01.txt,25,astar,old,new,new_as_p2,0,0,tie,0,0,0,0,0,0,23,23,1.222,1.077,2.78,1.664,1.355,2.825,0,0
easy_01.txt,50,astar,new,old,new_as_p1,0,0,tie,0,0,0,0,0,0,48,48,1.46,1.465,2.85,1.305,1.204,2.792,0,0
easy_01.txt,50,astar,old,new,new_as_p2,0,0,tie,0,0,0,0,0,0,48,48,1.434,1.417,2.451,1.676,1.546,2.506,0,0
medium_01.txt,10,astar,new,old,new_as_p1,1,0,new,1,0,1,1,2,0,5,5,0.448,0.249,1.174,11.911,11.616,16.847,0,0
medium_01.txt,10,astar,old,new,new_as_p2,0,0,tie,0,0,0,0,0,1,6,6,0.413,0.311,1.088,14.017,12.879,18.892,0,0
medium_01.txt,25,astar,new,old,new_as_p1,1,0,new,1,0,1,1,2,0,20,20,9.348,0.611,33.225,12.598,12.76,17.482,0,0
medium_01.txt,25,astar,old,new,new_as_p2,1,1,tie,1,1,0,2,1,2,0,0,10.775,1.376,36.608,11.636,11.767,20.988,0,0
medium_01.txt,50,astar,new,old,new_as_p1,1,0,new,1,0,1,1,2,0,45,45,11.547,13.402,23.71,13.025,12.659,19.542,0,0
medium_01.txt,50,astar,old,new,new_as_p2,0,1,new,1,0,1,1,1,1,0,0,9.719,12.084,21.306,11.855,11.941,19.961,0,0
hard_01.txt,10,astar,new,old,new_as_p1,1,0,new,1,0,1,1,3,0,3,3,0.541,0.393,1.884,11.409,11.024,13.767,0,0
hard_01.txt,10,astar,old,new,new_as_p2,1,0,old,0,1,-1,1,0,3,3,3,0.778,0.828,1.019,12.105,12.186,13.899,0,0
hard_01.txt,25,astar,new,old,new_as_p1,1,0,new,1,0,1,1,3,0,18,18,10.504,1.5,37.179,11.426,11.523,15.836,0,0
hard_01.txt,25,astar,old,new,new_as_p2,1,1,tie,1,1,0,2,2,6,1,0,10.076,2.091,27.496,10.867,10.818,16.281,0,0
hard_01.txt,50,astar,new,old,new_as_p1,1,0,new,1,0,1,1,3,0,43,43,11.318,12.845,27.195,13.509,12.785,25.622,0,0
hard_01.txt,50,astar,old,new,new_as_p2,1,1,tie,1,1,0,2,2,6,24,23,11.085,13.019,31.286,13.056,12.685,19.559,0,0
example_map.txt,10,astar,new,old,new_as_p1,2,0,new,2,0,2,3,2,0,1,0,1.737,0.259,13.763,1.306,1.18,1.753,0,0
example_map.txt,10,astar,old,new,new_as_p2,2,0,old,0,2,-2,3,0,2,0,1,0.313,0.313,0.485,46.841,41.699,82.197,0,0
example_map.txt,25,astar,new,old,new_as_p1,3,0,new,3,0,3,4,5,0,1,0,12.607,0.82,128.382,1.171,1.104,1.798,0,0
example_map.txt,25,astar,old,new,new_as_p2,3,0,old,0,3,-3,4,0,5,0,1,0.158,0.104,0.361,26.336,29.085,61.078,0,0
example_map.txt,50,astar,new,old,new_as_p1,3,0,new,3,0,3,4,5,0,1,0,8.555,10.501,18.674,1.275,1.097,2.341,0,0
