algorithm,map,step_limit,role_swapped_matches,new_score,old_score,score_diff,new_wins,old_wins,ties,new_useful_pushes,old_useful_pushes,new_ineffective_actions,old_ineffective_actions,new_avg_latency_ms,old_avg_latency_ms,new_max_latency_ms,old_max_latency_ms,new_fallbacks,old_fallbacks
astar,competitive_01.txt,10,2,2,2,0,0,0,2,2,2,0,0,0.719,16.602,2.375,21.434,0,0
astar,competitive_01.txt,25,2,4,2,2,2,0,0,6,4,2,0,15.82,17.627,48.234,26.032,0,0
astar,competitive_01.txt,50,2,4,2,2,2,0,0,6,4,50,49,17.459,22.593,52.085,48.902,0,0
astar,competitive_02.txt,10,2,2,2,0,0,0,2,3,3,0,0,0.907,14.486,3.691,21.918,0,0
astar,competitive_02.txt,25,2,3,2,1,1,1,0,6,6,1,0,23.95,13.712,68.171,27.991,0,0
astar,competitive_02.txt,50,2,5,1,4,2,0,0,9,6,1,0,18.623,15.902,98.183,38.609,0,0
astar,competitive_03.txt,10,2,2,2,0,0,0,2,3,3,0,0,0.982,12.752,4.728,17.67,0,0
astar,competitive_03.txt,25,2,4,2,2,1,1,0,7,6,1,0,21.175,13.662,81.952,32.756,0,0
astar,competitive_03.txt,50,2,5,1,4,2,0,0,9,9,4,0,11.285,9.158,31.889,30.346,0,0
astar,competitive_04.txt,10,2,2,2,0,0,0,2,3,4,0,0,0.961,11.264,3.159,19.876,0,0
astar,competitive_04.txt,25,2,4,2,2,2,0,0,7,5,0,0,12.377,7.604,50.275,28.459,0,0
astar,competitive_04.txt,50,2,4,2,2,2,0,0,7,5,0,0,8.748,5.386,34.119,14.735,0,0
gbfs,competitive_01.txt,10,2,2,2,0,0,0,2,2,2,0,0,0.692,12.822,1.843,20.445,0,0
gbfs,competitive_01.txt,25,2,4,2,2,2,0,0,6,4,2,0,14.4,12.442,50.601,54.618,0,0
gbfs,competitive_01.txt,50,2,4,2,2,2,0,0,6,4,49,49,11.746,14.744,53.534,37.195,0,0
gbfs,competitive_02.txt,10,2,2,2,0,0,0,2,3,3,0,0,0.746,8.261,2.929,14.933,0,0
gbfs,competitive_02.txt,25,2,3,3,0,1,1,0,5,8,1,0,18.25,7.679,71.754,13.062,0,0
gbfs,competitive_02.txt,50,2,4,0,4,2,0,0,10,10,4,0,11.523,7.18,58.3,16.806,0,0
gbfs,competitive_03.txt,10,2,2,2,0,0,0,2,3,3,0,0,0.804,9.425,2.326,16.737,0,0
gbfs,competitive_03.txt,25,2,4,2,2,1,1,0,7,6,1,0,15.606,7.699,42.52,52.681,0,0
gbfs,competitive_03.txt,50,2,5,1,4,2,0,0,9,9,4,0,7.217,6.071,29.6,12.259,0,0
gbfs,competitive_04.txt,10,2,2,2,0,0,0,2,4,3,0,0,2.197,8.308,11.038,13.142,0,0
gbfs,competitive_04.txt,25,2,4,1,3,2,0,0,9,4,0,0,13.213,5.351,51.598,11.193,0,0
gbfs,competitive_04.txt,50,2,5,1,4,2,0,0,10,4,0,0,6.072,4.821,66.72,13.381,0,0
ASTAR_TOTAL,ALL_PRIMARY,ALL,24,41,22,19,14,2,8,68,57,59,49,11.084,13.396,98.183,48.902,0,0
GBFS_TOTAL,ALL_PRIMARY,ALL,24,41,20,21,14,2,8,74,60,61,49,8.539,8.734,71.754,54.618,0,0
OVERALL_TOTAL,ALL_PRIMARY,ALL,48,82,42,40,28,4,16,142,117,120,98,9.811,11.065,98.183,54.618,0,0
