trial,stage,w_score,w_push,w_route,matches,new_wins,old_wins,ties,win_rate,avg_score_diff,avg_useful_pushes,avg_ineffective_actions,avg_latency_ms,max_latency_ms,deadline_fallbacks,objective_score
1,Stage 1 (Score x Push),20.0,2.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,21.677,148.561,0,13.583
2,Stage 1 (Score x Push),20.0,3.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,22.777,151.119,0,13.583
3,Stage 1 (Score x Push),30.0,2.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,23.4,114.318,0,13.583
4,Stage 1 (Score x Push),30.0,3.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,27.068,152.569,0,13.583
5,Stage 1 (Score x Push),30.0,5.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,24.659,132.124,0,13.583
6,Stage 1 (Score x Push),50.0,3.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,26.671,127.229,0,13.583
7,Stage 1 (Score x Push),50.0,5.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,26.688,179.089,0,13.583
8,Stage 1 (Score x Push),80.0,5.0,2.0,12,4,2,6,0.333,0.417,2.25,0.333,25.046,172.235,0,13.583
9,Stage 2 (Route),20.0,2.0,1.0,12,4,2,6,0.333,0.417,2.25,0.333,25.365,108.739,0,13.583
10,Stage 2 (Route),20.0,2.0,3.0,12,4,2,6,0.333,0.417,2.25,0.333,20.442,242.244,0,13.583
11,"Validation Set (Holdout competitive_04, 05)",30.0,3.0,2.0,8,4,0,4,0.5,0.5,2.25,0.5,15.307,95.398,0,16.75
